Data,Ticker,MarketCap,P/VP,Price,Rf
6/1/2007,ETER3,511.63,2.20,7.39,0.00
6/1/2007,EUCA4,830.97,1.75,6.81,0.00
6/1/2007,EVEN3,"2,375.68",3.63,11.41,0.00
6/1/2007,EZTC3,"1,321.19",1.76,3.68,0.00
6/1/2007,FHER3,954.32,1.94,19.59,0.00
6/1/2007,FESA4,542.71,0.96,2.99,0.00
6/1/2007,FLRY3,0.00,0.00,0.00,0.00
6/1/2007,FRAS3,470.95,0.00,2.13,0.00
6/1/2007,GFSA3,"4,296.51",2.81,94.79,0.00
6/1/2007,GGBR4,"32,239.04",2.71,18.17,0.00
6/1/2007,GOAU4,"12,926.84",2.09,22.27,0.00
6/1/2007,GRND3,"2,152.00",1.92,1.07,0.00
6/1/2007,NTCO3,"7,289.06",10.75,5.48,0.00
6/1/2007,GUAR3,"3,850.08",3.16,5.70,0.00
6/1/2007,HBOR3,603.81,1.75,8.76,0.00
6/1/2007,HYPE3,0.00,0.00,0.00,0.00
6/1/2007,PARD3,0.00,0.00,0.00,0.00
6/1/2007,MEAL3,0.00,0.00,0.00,0.00
6/1/2007,ROMI3,"1,743.20",2.68,10.29,0.00
6/1/2007,MYPK3,"2,094.07",7.37,12.36,0.00
6/1/2007,RANI3,379.77,3.76,1.53,0.00
6/1/2007,JBSS3,"6,464.40",2.12,4.89,0.00
6/1/2007,JHSF3,"2,412.86",3.10,3.59,0.00
6/1/2007,KEPL3,436.84,2.53,10.61,0.00
6/1/2007,KLBN11,"9,575.39",0.00,0.00,0.00
6/1/2007,LIGT3,"5,829.21",2.18,12.44,0.00
6/1/2007,RENT3,"3,810.26",7.87,4.30,0.00
6/1/2007,LCAM3,0.00,0.00,0.00,0.00
6/1/2007,LOGN3,"1,264.70",2.15,57.07,0.00
6/1/2007,AMAR3,"1,448.35",2.58,5.82,0.00
6/1/2007,LREN3,"4,376.95",7.51,3.97,0.00
6/1/2007,LUPA3,"2,846.22",11.09,"9,983.83",0.00
6/1/2007,MDIA3,"2,831.50",2.96,6.34,0.00
6/1/2007,MGLU3,0.00,0.00,0.00,0.00
6/1/2007,POMO4,"1,585.31",2.72,1.08,0.00
6/1/2007,MRFG3,"3,110.22",2.43,12.94,0.00
6/1/2007,LEVE3,989.76,0.00,7.73,0.00
6/1/2007,MILS3,0.00,0.00,0.00,0.00
6/1/2007,BEEF3,824.25,1.56,7.97,0.00
6/1/2007,MOVI3,0.00,0.00,0.00,0.00
6/1/2007,MRVE3,"5,145.62",3.75,6.44,0.00
6/1/2007,ODPV3,"1,122.00",4.93,1.72,0.00
6/1/2007,OIBR3,"13,195.04",3.05,127.34,0.00
6/1/2007,OFSA3,0.00,0.00,0.00,0.00
6/1/2007,PCAR3,"7,774.35",0.00,26.86,0.00
6/1/2007,PETR4,"429,922.95",3.41,25.44,0.00
6/1/2007,PRIO3,0.00,0.00,0.00,0.00
6/1/2007,PTBL3,459.09,20.26,2.01,0.00
6/1/2007,POSI3,"3,805.64",0.00,34.04,0.00
6/1/2007,PFRM3,"1,302.05",2.92,28.64,0.00
6/1/2007,QUAL3,0.00,0.00,0.00,0.00
6/1/2007,RADL3,900.69,0.00,0.81,0.00
6/1/2007,RAPT4,"2,673.79",4.44,6.28,0.00
6/1/2007,RAIL3,"14,589.88",0.00,0.00,0.00
6/1/2007,SBSP3,"9,370.89",0.96,9.11,0.00
6/1/2007,SAPR4,"1,138.70",0.45,0.37,0.00
6/1/2007,STBP3,"3,475.61",0.00,0.00,0.00
6/1/2007,SMTO3,"2,282.60",1.41,5.19,0.00
6/1/2007,SHUL4,393.99,3.19,1.46,0.00
6/1/2007,SEER3,0.00,0.00,0.00,0.00
6/1/2007,CSNA3,"40,422.82",5.36,14.72,0.00
6/1/2007,SQIA3,0.00,0.00,0.00,0.00
6/1/2007,SLCE3,"1,476.75",2.82,5.05,0.00
6/1/2007,SGPS3,"1,903.11",1.08,85.04,0.00
6/1/2007,TAEE11,"2,719.72",1.97,2.20,0.00
6/1/2007,TASA4,"1,041.85",3.52,41.56,0.00
6/1/2007,TECN3,0.00,0.00,0.00,0.00
6/1/2007,TCSA3,"1,641.96",2.16,76.45,0.00
6/1/2007,TGMA3,"1,542.38",4.36,12.80,0.00
6/1/2007,TELB4,452.81,0.00,58.08,0.00
6/1/2007,VIVT3,"22,872.21",2.35,14.14,0.00
6/1/2007,LAND3,870.28,2.81,332.84,0.00
6/1/2007,TIMS3,"16,034.88",2.53,6.22,0.00
6/1/2007,SHOW3,0.00,0.00,0.00,0.00
6/1/2007,TOTS3,"1,574.62",4.41,2.99,0.00
6/1/2007,TRPL4,"5,568.38",0.00,3.04,0.00
6/1/2007,TRIS3,853.12,1.91,3.45,0.00
6/1/2007,TPIS3,943.26,1.18,4.97,0.00
6/1/2007,TUPY3,908.68,1.43,4.60,0.00
6/1/2007,UGPA3,"5,086.49",0.00,4.83,0.00
6/1/2007,UCAS3,0.00,0.00,0.00,0.00
6/1/2007,UNIP6,"1,676.47",0.00,4.51,0.00
6/1/2007,USIM5,"27,074.65",2.15,20.79,0.00
6/1/2007,VALE3,"270,437.77",5.03,28.82,0.00
6/1/2007,VLID3,800.00,3.09,8.00,0.00
6/1/2007,VIIA3,"3,860.58",5.32,7.00,0.00
6/1/2007,VULC3,"1,249.50",6.38,17.73,0.00
6/1/2007,WEGE3,"15,564.19",8.51,2.70,0.00
6/1/2007,PORT3,0.00,0.00,15.01,0.00
6/1/2007,YDUQ3,"1,194.49",0.00,5.21,0.00
6/1/2008,AESB3,0.00,0.00,0.00,0.00
6/1/2008,AALR3,0.00,0.00,0.00,0.00
6/1/2008,ALPA4,737.23,0.84,0.98,0.00
6/1/2008,ALUP11,0.00,0.00,0.00,0.00
6/1/2008,ABEV3,"56,506.64",3.01,2.13,0.00
6/1/2008,AMER3,"2,623.00",12.64,19.63,0.00
6/1/2008,ANIM3,0.00,0.00,0.00,0.00
6/1/2008,ARZZ3,0.00,0.00,0.00,0.00
6/1/2008,AZEV4,0.00,0.00,2.11,0.00
6/1/2008,BLUT4,9.51,0.00,"2,293.05",0.00
6/1/2008,BRAP3,"6,621.18",1.31,3.28,0.00
6/1/2008,BRAP4,"6,621.18",1.36,3.51,0.00
6/1/2008,AGRO3,402.53,0.71,4.48,0.00
6/1/2008,BRKM5,"2,820.66",0.77,3.38,0.00
6/1/2008,BRFS3,"6,142.13",1.49,13.21,0.00
6/1/2008,CCRO3,"9,525.30",6.03,3.44,0.00
6/1/2008,CLSC4,"1,549.53",0.82,15.78,0.00
6/1/2008,CMIG4,"14,303.02",1.69,3.19,0.00
6/1/2008,CESP6,"4,458.34",0.00,7.01,0.00
6/1/2008,COCE5,"1,573.49",1.91,10.01,0.00
6/1/2008,COGN3,379.78,0.00,0.00,0.00
6/1/2008,CGAS5,"3,861.12",3.48,7.62,0.00
6/1/2008,CSMG3,"2,159.31",0.59,2.99,0.00
6/1/2008,CPLE6,"6,277.67",0.82,1.11,0.00
6/1/2008,CSAN3,"3,677.78",0.98,1.82,0.00
6/1/2008,CPFE3,"14,469.32",2.88,7.86,0.00
6/1/2008,CRPG5,110.86,0.31,2.58,0.00
6/1/2008,CARD3,111.72,0.88,1.44,0.00
6/1/2008,CVCB3,0.00,0.00,0.00,0.00
